ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
180040018,193548.85404903282,93200,240000,266000,286748.8540490328
180100032,284523.7482336098,110600,397192,368000,395123.7482336098
180140044,224810.6910304271,145000,338000,321400,369810.6910304271
180360016,194490.81970325357,128500,264900,264800,322990.81970325357
180430020,180047.31318427852,138300,250000,232000,318347.31318427855
180430034,212053.6729348717,138300,395000,288000,350353.6729348717
180500072,209494.0714134638,110000,327000,297300,319494.0714134638
180540009,204234.7770917067,109600,274900,302100,313834.7770917067
180540016,282876.1559954164,106400,437500,392000,389276.1559954164
190020021,178116.53525813422,103200,270000,269100,281316.53525813424
190020122,183819.16178825256,95400,274900,226100,279219.16178825253
190030007,228650.53458676278,92200,325000,311600,320850.5345867628
190030019,177414.01736972836,102300,288000,248200,279714.01736972836
190030101,274701.8699311578,104600,393000,372300,379301.8699311578
190120009,193945.51808457583,96800,272900,252800,290745.51808457583
190200051,187898.57280087334,97200,264000,272300,285098.5728008733
190250021,203215.6126488977,177500,235000,324400,380715.6126488977
190290060,231092.08454050418,142700,340000,330600,373792.08454050415
190310202,210186.06264741928,118300,331000,291300,328486.0626474193
190480066,184074.75861343945,99800,320000,248900,283874.75861343945
190510043,176871.99859050653,100300,244500,220500,277171.9985905065
190540034,193763.0271636082,96100,295900,263200,289863.02716360823
190600028,213333.01564371304,95800,306400,289700,309133.01564371306
190600045,158853.93534712083,93700,217000,205900,252553.93534712083
200310103,289627.6215910395,220600,550000,533400,510227.6215910395
200550060,212020.55833190796,159400,325000,367400,371420.55833190796
200570018,561250.5992413455,204900,520000,608700,766150.5992413455
200750010,203523.66532828537,138300,400000,319900,341823.66532828537
200750086,196415.94710322155,142200,300000,288700,338615.94710322155
210030053,186679.48693116644,109800,292000,274800,296479.48693116644
210030058,187228.04646969773,109800,243400,257600,297028.0464696977
210030072,197219.59165939564,111800,328700,291500,309019.5916593956
210040012,168661.6626091372,127000,250000,248600,295661.6626091372
210100038,164875.5107042769,136000,440000,263800,300875.5107042769
210140021,197787.97275587535,87700,262000,247600,285487.9727558753
210160006,236763.73568527406,125400,350000,372500,362163.73568527406
210380141,263256.189179182,77800,331500,338000,341056.189179182
210410183,184873.13187120628,88300,250000,253200,273173.1318712063
210420076,170299.52024118882,103800,262000,225100,274099.5202411888
210430185,262074.41970780675,96300,445000,361200,358374.4197078068
210460136,176206.02154472476,85600,234000,220600,261806.02154472476
210500116,162556.56167782206,91300,186500,201900,253856.56167782206
220160008,230556.50534931058,162300,445000,360800,392856.5053493106
220270022,185668.5557463709,91800,245000,240400,277468.5557463709
220270040,183970.63773304704,96400,279000,266400,280370.637733047
220290023,178540.38227706126,105400,224255,271800,283940.38227706123
220300040,175225.35640175611,103800,290000,271100,279025.3564017561
220300051,203520.14895178154,103200,283500,292500,306720.14895178156
220310007,205588.9479166794,97200,299900,301500,302788.94791667943
230350016,214426.4760530069,72000,290000,266900,286426.4760530069
230350022,219848.7645512194,73700,293000,291100,293548.7645512194
230430075,236738.1450833945,76000,370000,298800,312738.1450833945
230440005,191224.62924723607,67000,225000,235000,258224.62924723607
230450038,190079.3701021377,80200,243000,244200,270279.3701021377
230450053,189680.66046079883,90300,282500,250900,279980.6604607988
230460011,207322.8776010209,83300,259900,283600,290622.8776010209
230460030,167471.54820478937,87700,215000,225000,255171.54820478937
230470136,218514.85151359564,85000,267500,287100,303514.85151359567
230480078,199752.23343232882,78100,258000,255500,277852.2334323288
230500004,253320.96870891878,98600,369900,356200,351920.9687089188
230500032,195869.95581242134,84200,250000,247500,280069.95581242134
230540043,178370.1219853388,84800,292000,234100,263170.1219853388
250180039,267924.20814954856,125300,370000,342500,393224.20814954856
250230001,199755.90465366625,70800,262000,264500,270555.90465366625
250680138,316547.8758771737,234800,729000,742500,551347.8758771736
260040106,252907.9064326512,93600,325000,320100,346507.9064326512
260100043,286233.35312713234,89300,353000,365900,375533.35312713234
260120018,182516.8627878638,72000,285000,235900,254516.8627878638
260230036,372594.2614302337,191000,565000,553400,563594.2614302337
260260001,240496.85506664004,119800,410000,399700,360296.85506664007
260300115,198211.63989431204,62800,275000,264500,261011.63989431204
260310068,167616.00554315155,78700,209000,226200,246316.00554315155
260320006,213571.23961869677,78800,238000,254400,292371.23961869674
260320007,230597.1691016011,85800,328000,333500,316397.1691016011
260330056,172229.63996549186,82800,245000,220800,255029.63996549186
260330058,194452.66813193003,76700,290000,253800,271152.66813193006
260340050,170301.09275822047,69200,206000,212400,239501.09275822047
260380111,162814.59841334267,84600,265000,230800,247414.59841334267
260640018,289183.41573719913,139900,467500,413200,429083.41573719913
260640050,213538.14217440315,136600,285000,288500,350138.1421744032
260640166,239088.2987452568,159900,390000,406300,398988.2987452568
260650088,222527.63041505782,161800,375000,344900,384327.6304150578
260650098,344438.5052270011,167300,532000,550800,511738.5052270011
260670091,277411.1594968244,142000,390220,407300,419411.1594968244
270020133,251043.43960937677,127500,375000,356400,378543.4396093768
270090142,263868.16050586617,102600,375000,348700,366468.16050586617
270200002,228137.92234499173,69400,316000,288800,297537.9223449917
270200002,228137.92234499173,69400,273000,288800,297537.9223449917
270200002,228137.92234499173,69400,316000,288800,297537.9223449917
270200002,228137.92234499173,69400,273000,288800,297537.9223449917
270340026,342186.3682665225,296000,681000,676300,638186.3682665224
290350057,358865.7209366547,236700,510000,525600,595565.7209366547
290370041,215571.6767470256,105500,399900,340900,321071.6767470256
300370057,202182.25461490927,79700,275000,275300,281882.2546149093
300380083,246917.184142339,86900,382500,346800,333817.18414233904
300380249,259918.21264466183,96900,496000,353800,356818.21264466183
300390232,179358.86244990787,91700,247000,215400,271058.8624499079
300540226,215267.14997605537,89500,340000,276700,304767.14997605537
300730037,298843.7768055315,125000,425000,412300,423843.7768055315
300910047,288897.21984197194,129100,385000,417800,417997.21984197194
320070052,220258.12451844016,84500,312500,291500,304758.12451844016
320110104,199465.10030036836,112800,278000,269700,312265.1003003684
320140013,204042.3763231425,215900,340000,425000,419942.3763231425
340050009,232560.30425943705,158800,453450,319500,391360.304259437
340070018,276166.9335682563,198000,514900,445000,474166.9335682563
340070028,252994.63102075766,201400,446000,435200,454394.63102075766
340070032,231830.1214029061,229400,580000,487000,461230.12140290614
340100017,241991.25020412682,197900,450000,420000,439891.2502041268
340120030,164740.52084972223,119800,225000,210300,284540.5208497222
340140013,285903.3444773429,275100,635000,580900,561003.3444773429
340170008,218107.20323053322,99400,345000,319500,317507.2032305332
340230003,192758.92462786118,93100,326000,272300,285858.9246278612
340230003,192758.92462786118,93100,260000,272300,285858.9246278612
340230003,192758.92462786118,93100,326000,272300,285858.9246278612
340230003,192758.92462786118,93100,260000,272300,285858.9246278612
340230022,197357.34674576187,86300,281000,278500,283657.34674576187
340330014,221761.54691709115,170100,377800,337300,391861.5469170911
340420013,377911.2308086563,620000,915000,978800,997911.2308086563
340440039,237890.91394119867,127500,319500,309100,365390.91394119867
340510019,221854.32776264107,101400,324000,307700,323254.32776264107
340570001,239883.83475042583,140900,338000,345200,380783.8347504258
340620005,352206.0828190058,214600,723800,567300,566806.0828190058
340620037,365124.78830111213,192800,632000,559800,557924.7883011121
340630002,193175.22379333214,122400,270000,278100,315575.2237933321
340840015,419341.57175193314,232900,525000,581700,652241.5717519331
340840036,248456.64983172202,229600,425000,439100,478056.649831722
340860007,234791.38290450047,139900,410000,384900,374691.38290450047
340910011,232833.971401115,136900,397000,374800,369733.971401115
340930007,236403.08870250313,138400,408000,403900,374803.0887025031
340930020,272218.37996339874,141400,429000,403500,413618.37996339874
341160003,372729.62007965124,529700,866500,867000,902429.6200796512
341260001,296817.0909451916,111900,374000,409500,408717.0909451916
341330001,212676.0726491182,120500,340000,296200,333176.0726491182
341510002,222166.57036147092,120800,330000,303600,342966.5703614709
341520003,192199.4573715374,114500,284500,270100,306699.4573715374
341610007,317004.04565274186,156300,461800,478700,473304.04565274186
341700001,251019.10173673747,249500,440000,463200,500519.1017367375
341850025,255477.57622285263,152000,395000,378100,407477.57622285263
342210013,470472.17326804553,382000,920000,760300,852472.1732680455
342250006,287520.41676847305,271100,539000,508700,558620.4167684731
342260001,273099.9555319674,128000,465000,376200,401099.9555319674
342310005,290121.21128328034,172300,413675,415000,462421.21128328034
342510005,231260.70376708865,131800,326000,344100,363060.70376708865
342510009,243921.7258783762,131200,405000,381900,375121.72587837616
342590008,236462.84508742756,110000,374500,345300,346462.84508742753
342740018,272880.3625636673,157800,450000,424600,430680.3625636673
342850005,228983.37718611953,107200,340000,333800,336183.37718611956
343000016,550120.7867233015,322700,872000,719000,872820.7867233015
343010028,236281.9405957073,82600,320200,307200,318881.9405957073
343040007,222023.16330393258,99200,307500,304500,321223.1633039326
343040022,226692.67873453704,109200,340000,317900,335892.67873453704
343040029,206510.95167176155,101200,302000,292900,307710.9516717616
343100003,253808.00503855475,125300,415000,372000,379108.0050385548
343130043,212402.97551574255,110100,307500,299600,322502.97551574255
343130044,239355.27030539917,110100,355000,345400,349455.2703053992
343170013,251495.57685575815,169200,375000,419400,420695.57685575815
343210208,254549.32461836637,98800,330000,321400,353349.3246183664
343240007,224398.61430372624,71900,268000,281900,296298.61430372624
343470018,205823.693324256,76600,290000,275800,282423.693324256
343470020,191836.5915503568,76400,264500,262100,268236.5915503568
343470024,196313.6620626056,78700,275000,263500,275013.6620626056
343470031,207522.63536072648,82600,315000,284400,290122.6353607265
343510001,243109.39098608817,110000,338000,324300,353109.3909860882
343510020,245283.9901665998,110000,330000,324800,355283.9901665998
343570029,238181.49150934117,73800,350000,315100,311981.49150934117
343570039,210228.16749425145,73600,329750,284600,283828.16749425145
343640019,261724.00397493376,68800,334900,331900,330524.00397493376
343690044,224219.67487357138,110000,326000,316000,334219.6748735714
343760023,229822.98158103906,99500,324000,322900,329322.981581039
343760036,241060.44390801835,99400,332500,324800,340460.44390801835
343760040,243428.51369230996,95700,315000,326500,339128.51369230996
343760059,281518.8168498093,91900,415000,378900,373418.8168498093
343840013,297476.1435370462,142600,510775,484900,440076.1435370462
343920116,278052.4455090243,110800,400000,383700,388852.4455090243
