PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,40,111,111,171,1718,Average,Above Average,13,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1152,3,1.75,1152,1152,0,1,528,0,194146,214763,194146,214763,RS,Yes,No,Yes,Yes,1,Yes,44,768,020060017,2304,266300
RS,40,111,111,171,1718,Average,Above Average,34,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1833,3,1.75,220,220,0,1,0,0,139229,214859,140274,220082,RS,No,No,Yes,Yes,1,Yes,77,677.6666666666666,020070018,2033,144900
RS,40,111,111,171,1718,Average,Average,41,0,Ranch 1 Story,1.5,Frame Vinyl,2088,4,2.75,1286,0,1286,1,0,1536,122644,272309,122644,272309,RS,No,Yes,Yes,No,0,No,90,843.5,020080011,3374,140000
RS,60,111,111,201,2017,Average,Above Average,33,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1406,3,1.75,643,310,333,1,0,280,128124,203983,128124,203983,RS,No,Yes,Yes,No,0.4821150855365474,Yes,75,709,020120002,2127,132100
RS,60,111,111,201,2017,Average,Average,17,0,Ranch 1 Story,1,Frame Vinyl,1332,3,2.5,1332,1332,0,2,598,0,192592,232038,193640,237276,RS,Yes,No,Yes,Yes,1,No,43,888,020120027,2664,203900
RS,60,111,111,201,2017,Average,Above Average,19,0.75,Ranch 1 Story,1,Frame Masonry Veneer,1013,2,1,256,0,256,1,328,0,114533,136349,114533,136349,RS,Yes,No,Yes,No,0,Yes,67,634.5,020130022,1269,108600
RS,60,111,111,201,2017,Average,Average,44,0,1½ Story Fin,1,Frame Masonry Veneer,1422,4,1,0,0,0,1,0,240,55459,150965,55459,150965,RS,No,Yes,No,No,0,No,121,355.5,020150035,1422,74500
RS,60,111,111,201,2017,Below Average,Above Average,25,0.8,Ranch 1 Story,1,Frame Vinyl,728,2,1,468,374,94,1,0,0,71023,92357,71023,92357,RS,No,No,Yes,No,0.7991452991452992,Yes,109,598,020160011,1196,92300
RS,60,111,111,201,2017,Average,Above Average,31,0.75,Ranch 1 Story,1,Frame Vinyl,984,2,1,400,0,400,1,0,0,83610,120129,83610,120129,RS,No,No,Yes,No,0,Yes,117,692,020160014,1384,123500
RS,60,111,111,201,2017,Average,Above Average,29,0.7,Ranch 1 Story,1,Frame Masonry Veneer,768,2,1.75,768,538,230,1,0,528,97244,145903,97244,145903,RS,No,Yes,Yes,No,0.7005208333333334,Yes,81,768,020160028,1536,190900
RS,60,111,111,201,2017,Average,Above Average,26,0.75,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,2,1040,1040,0,1,0,0,150771,189173,150771,189173,RS,No,No,Yes,Yes,1,Yes,60,1040,020170012,2080,174619
RS,60,111,111,201,2017,Average,Average,18,0,Bi Level 1 Story,1,Frame Vinyl,1052,4,2,988,790,198,1,0,0,129633,161029,129633,161029,RS,No,No,Yes,No,0.7995951417004049,No,44,506,020170031,2024,128500
RS,60,111,111,201,2017,Below Average,Above Average,37,0.7,Ranch 1 Story,1,Frame Vinyl,1849,4,1,0,0,0,1,0,0,82538,151725,82538,151725,RS,No,No,No,No,0,Yes,110,462.25,020180004,1849,129600
RS,60,111,111,201,2017,Below Average,Average,20,0,Ranch 1 Story,1,Frame Vinyl,884,2,1,884,221,663,1,308,0,87971,117295,87971,117295,RS,Yes,No,Yes,No,0.25,No,49,884,020180011,1768,148700
RS,60,111,111,201,2017,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1040,4,1.5,1040,728,312,1,264,0,90733,180026,90733,180026,RS,Yes,No,Yes,No,0.7,Yes,99,556,020200001,2224,153500
RS,60,111,111,201,2017,Below Average,Average,44,0,2 Story,1,Frame Masonry Veneer,1441,3,1,0,0,0,1,0,288,43490,141368,43490,141368,RS,No,Yes,No,No,0,No,114,480.3333333333333,020230028,1441,106900
RS,60,111,111,201,2017,Average,Average,11,0,Split Level,1,Frame Vinyl,1168,3,2,575,575,0,1,300,0,147203,163559,147203,163559,RS,Yes,No,Yes,Yes,1,No,30,600,020230036,1800,191500
RS,60,111,111,201,2017,Average,Above Average,40,0.7,Ranch 1 Story,1,Frame Vinyl,1694,3,1.75,0,0,0,1,0,460,95984,183083,95984,183083,RS,No,Yes,No,No,0,Yes,126,564.6666666666666,020240005,1694,193363
RS,60,111,111,201,2017,Average,Above Average,31,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1200,2,2,270,0,270,1,0,0,111638,160399,111638,160399,RS,No,No,Yes,No,0,Yes,102,757.5,020240044,1515,117956
RS,60,111,111,201,2017,Average,Average,12,0,Split Level,1,Frame Vinyl,1307,3,2.25,1100,1100,0,1,504,0,181874,204959,181874,204959,RS,Yes,No,Yes,Yes,1,No,33,802.3333333333334,020280025,2407,201300
RS,60,111,111,201,2017,Average,Above Average,38,0.7,Ranch 1 Story,1,Frame Vinyl,972,2,1,0,0,0,1,0,576,82348,132828,82348,132828,RS,No,Yes,No,No,0,Yes,122,486,020280036,972,111700
RS,60,111,111,201,2017,Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,1667,3,1,696,0,696,1,0,432,71040,194678,71040,194678,RS,No,Yes,Yes,No,0,No,95,787.6666666666666,020330016,2363,126000
RS,60,111,111,201,2017,Average,Average,19,0.2,Bi Level 1 Story,1,Frame Vinyl,1016,2,2,950,855,95,1,0,0,128286,161408,128286,161408,RS,No,No,Yes,No,0.9,Yes,46,983,020330028,1966,193700
RS,60,111,111,201,2017,Average,Above Average,25,0,Ranch 1 Story,1,Frame Vinyl,912,3,2,912,866,46,2,0,300,120490,168706,120490,168706,RS,No,Yes,Yes,No,0.9495614035087719,No,81,592.6666666666666,020340014,1778,126400
RS,60,111,111,201,2017,Average,Above Average,25,0,Ranch 1 Story,1,Frame Vinyl,912,3,2,912,866,46,2,0,300,120490,168706,120490,168706,RS,No,Yes,Yes,No,0.9495614035087719,No,81,608,020340014,1824,151400
RS,60,111,111,201,2017,Average,Average,27,0,Ranch 1 Story,1,Frame Masonry Veneer,882,2,1,220,0,220,1,0,0,83792,121438,83792,121438,RS,No,No,Yes,No,0,No,63,551.5,020340017,1103,121800
RS,60,111,111,201,2017,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,440,1,1,0,0,0,1,0,0,14284,46079,16291,56115,RS,No,No,No,No,0,No,112,440,020340033,440,11360
RS,60,111,111,201,2017,Average,Above Average,32,0.6,Ranch 1 Story,1,Frame Vinyl,1176,2,1.75,1176,1000,176,2,476,700,156836,231422,156836,231422,RS,Yes,Yes,Yes,No,0.8503401360544217,Yes,73,1176,020350010,2352,162244
RS,60,111,111,201,2017,Average,Above Average,41,0.65,Ranch 1 Story,1.5,Frame Vinyl,2070,4,1.75,0,0,0,1,0,396,108485,208914,108485,208914,RS,No,Yes,No,No,0,Yes,116,554.75,020350011,2219,148600
RS,60,111,111,201,2017,Average,Above Average,29,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1352,4,1.75,338,0,338,2,0,0,125747,172730,125747,172730,RS,No,No,Yes,No,0,Yes,97,427.75,020360002,1711,145590
RS,60,111,111,201,2017,Average,Above Average,30,0.8,Ranch 1 Story,1,Frame Stucco,2992,4,3,0,0,0,1,0,1283,227681,308513,227681,308513,RS,No,Yes,No,No,0,Yes,127,759,020360008,3036,234400
RS,60,111,111,201,2017,Average,Above Average,19,0.6,Bi Level 1 Story,1,Frame Vinyl,948,3,2,888,888,0,1,528,0,142519,169665,142519,169665,RS,Yes,No,Yes,Yes,1,Yes,48,599,020360012,1797,211500
RS,60,111,111,201,2017,Average,Above Average,44,0.5,2 Story,2,Frame Masonry Veneer,1344,4,1,0,0,0,1,418,0,69927,158205,69927,158205,RS,Yes,No,No,No,0,Yes,128,336,020370049,1344,116600
